lat,lon,name,value
60.0342741,30.3230095,Эскалибур,1
55.7453987,37.872473,Детская библиотека,1
59.9282298,30.369061,Регби Хаус,1
59.9879133,30.2875565,Made in,1
59.9262464,30.3194843,Маруся,1
55.7298711,37.640064,Ростик'с,1
59.933157,30.3103416,Made In China,1
59.9450015,30.3866693,Додо Пицца,1
55.7275297,37.5800178,Бургер Кинг,1
55.5827846,37.9123954,O'stin;Бургер Кинг,1
55.7400114,37.6159767,Вильям Басс,1
59.8091195,30.320899,Rostic`s,1
60.0071702,30.297775,Забава,1
55.7280401,37.5812447,Якитория,1
55.6648872,37.4814829,Бургер Кинг,1
55.7178713,37.6468139,Салхино,1
60.0346204,30.2975479,Бруно Иванович,1
60.0201553,30.2705733,Фамильная выпечка,1
55.7529635,37.5941592,Якитория,1
55.7535702,37.716436,Якитория,1
55.8898515,37.5378749,Якитория,1
55.6095966,37.7202281,Якитория,1
55.6560056,37.7442013,Якитория,1
55.6907556,37.8603074,Якитория,1
55.7051582,37.7718308,Якитория,1
